Kit_ID,primer,replicate,Cq
59739083ca,N1,1.0,35.82
59739083ca,N1,2.0,36.39
59739083ca,N1,3.0,35.77
59739083ca,N2,1.0,35.39
59739083ca,N2,2.0,35.85
59739083ca,N2,3.0,35.59
aaea9eaed0,N1,1.0,33.82
aaea9eaed0,N1,2.0,33.94
aaea9eaed0,N1,3.0,33.97
aaea9eaed0,N2,1.0,35.73
aaea9eaed0,N2,2.0,33.98
aaea9eaed0,N2,3.0,35.01
b153bb7dd9,N1,1.0,35.85
b153bb7dd9,N1,2.0,35.57
b153bb7dd9,N1,3.0,36.01
b153bb7dd9,N2,1.0,36.45
b153bb7dd9,N2,2.0,36.04
b153bb7dd9,N2,3.0,36.2
bd7d91886f,N1,1.0,34.63
bd7d91886f,N1,2.0,34.61
bd7d91886f,N1,3.0,34.71
bd7d91886f,N2,1.0,34.84
bd7d91886f,N2,2.0,34.66
bd7d91886f,N2,3.0,34.11
1566e0dd3d,N1,1.0,36.16
1566e0dd3d,N1,2.0,35.29
1566e0dd3d,N1,3.0,34.92
1566e0dd3d,N2,1.0,34.95
1566e0dd3d,N2,2.0,35.36
1566e0dd3d,N2,3.0,34.63
80c5ec6dbf,N1,1.0,33.09
80c5ec6dbf,N1,2.0,32.91
80c5ec6dbf,N1,3.0,33.27
80c5ec6dbf,N2,1.0,33.29
80c5ec6dbf,N2,2.0,33.6
80c5ec6dbf,N2,3.0,33.38
bc8a0683ac,N1,1.0,32.72
bc8a0683ac,N1,2.0,33.12
bc8a0683ac,N1,3.0,33.27
bc8a0683ac,N2,1.0,33.82
bc8a0683ac,N2,2.0,33.1
bc8a0683ac,N2,3.0,33.98
239463d573,N1,1.0,36.46
239463d573,N1,2.0,36.05
239463d573,N1,3.0,37.18
239463d573,N2,1.0,35.67
239463d573,N2,2.0,37.54
239463d573,N2,3.0,35.82
63eabe6638,N1,1.0,33.77
63eabe6638,N1,2.0,33.78
63eabe6638,N1,3.0,33.66
63eabe6638,N2,1.0,34.22
63eabe6638,N2,2.0,34.42
63eabe6638,N2,3.0,33.99
7f03b0cfff,N1,1.0,33.91
7f03b0cfff,N1,2.0,34.29
7f03b0cfff,N1,3.0,34.3
7f03b0cfff,N2,1.0,34.79
7f03b0cfff,N2,2.0,34.43
7f03b0cfff,N2,3.0,33.81
9a1622eb61,N1,1.0,37.0
9a1622eb61,N1,2.0,35.83
9a1622eb61,N1,3.0,36.98
9a1622eb61,N2,1.0,36.24
9a1622eb61,N2,2.0,35.93
9a1622eb61,N2,3.0,36.54
27daf66b18,N1,1.0,
27daf66b18,N1,2.0,37.82
27daf66b18,N1,3.0,
27daf66b18,N2,1.0,36.33
27daf66b18,N2,2.0,36.88
27daf66b18,N2,3.0,37.07
5f12a79e99,N1,1.0,33.51
5f12a79e99,N1,2.0,33.95
5f12a79e99,N1,3.0,34.24
5f12a79e99,N2,1.0,33.8
5f12a79e99,N2,2.0,34.22
5f12a79e99,N2,3.0,34.42
79c2a210f3,N1,1.0,35.34
79c2a210f3,N1,2.0,35.33
79c2a210f3,N1,3.0,35.46
79c2a210f3,N2,1.0,34.86
79c2a210f3,N2,2.0,35.5
79c2a210f3,N2,3.0,35.46
7ee16f2f37,N1,1.0,35.69
7ee16f2f37,N1,2.0,34.74
7ee16f2f37,N1,3.0,35.36
7ee16f2f37,N2,1.0,35.94
7ee16f2f37,N2,2.0,35.73
