Ct,Standard,primer,copies,technical_replicate
23.95,B.1.1.7,N1,30000.0,1
27.5,B.1.1.7,N1,3000.0,1
30.68,B.1.1.7,N1,300.0,1
35.01,B.1.1.7,N1,30.0,1
37.58,B.1.1.7,N1,3.0,1
23.86,B.1.1.7,N1,30000.0,1
27.35,B.1.1.7,N1,3000.0,1
30.67,B.1.1.7,N1,300.0,1
34.64,B.1.1.7,N1,30.0,1
36.74,B.1.1.7,N1,3.0,1
23.88,B.1.1.7,N1,30000.0,1
27.21,B.1.1.7,N1,3000.0,1
30.84,B.1.1.7,N1,300.0,1
33.81,B.1.1.7,N1,30.0,1
36.92,B.1.1.7,N1,3.0,1
23.97,B.1.1.7,N1,30000.0,1
27.24,B.1.1.7,N1,3000.0,1
30.69,B.1.1.7,N1,300.0,1
35.03,B.1.1.7,N1,30.0,1
38.57,B.1.1.7,N1,3.0,1
24.1,B.1.1.7,N2,30000.0,1
27.7,B.1.1.7,N2,3000.0,1
31.38,B.1.1.7,N2,300.0,1
34.76,B.1.1.7,N2,30.0,1
39.95,B.1.1.7,N2,3.0,1
24.12,B.1.1.7,N2,30000.0,1
27.63,B.1.1.7,N2,3000.0,1
31.6,B.1.1.7,N2,300.0,1
35.01,B.1.1.7,N2,30.0,1
37.48,B.1.1.7,N2,3.0,1
24.04,B.1.1.7,N2,30000.0,1
27.63,B.1.1.7,N2,3000.0,1
31.31,B.1.1.7,N2,300.0,1
34.83,B.1.1.7,N2,30.0,1
,B.1.1.7,N2,3.0,1
24.03,B.1.1.7,N2,30000.0,1
27.19,B.1.1.7,N2,3000.0,1
31.08,B.1.1.7,N2,300.0,1
34.14,B.1.1.7,N2,30.0,1
39.66,B.1.1.7,N2,3.0,1
25.32,WT,N1,30000.0,1
28.59,WT,N1,3000.0,1
31.79,WT,N1,300.0,1
35.88,WT,N1,30.0,1
,WT,N1,3.0,1
25.34,WT,N1,30000.0,1
28.45,WT,N1,3000.0,1
31.98,WT,N1,300.0,1
35.55,WT,N1,30.0,1
,WT,N1,3.0,1
25.21,WT,N1,30000.0,1
29.19,WT,N1,3000.0,1
31.63,WT,N1,300.0,1
35.37,WT,N1,30.0,1
37.94,WT,N1,3.0,1
25.24,WT,N1,30000.0,1
28.52,WT,N1,3000.0,1
32.05,WT,N1,300.0,1
35.25,WT,N1,30.0,1
38.95,WT,N1,3.0,1
24.65,WT,N2,30000.0,1
28.27,WT,N2,3000.0,1
31.89,WT,N2,300.0,1
35.54,WT,N2,30.0,1
39.12,WT,N2,3.0,1
24.61,WT,N2,30000.0,1
28.15,WT,N2,3000.0,1
31.97,WT,N2,300.0,1
35.07,WT,N2,30.0,1
39.0,WT,N2,3.0,1
24.51,WT,N2,30000.0,1
28.21,WT,N2,3000.0,1
31.86,WT,N2,300.0,1
34.93,WT,N2,30.0,1
37.45,WT,N2,3.0,1
24.53,WT,N2,30000.0,1
28.16,WT,N2,3000.0,1
31.81,WT,N2,300.0,1
35.79,WT,N2,30.0,1
38.57,WT,N2,3.0,1
24.97,WT,N1,30000.0,2
28.36,WT,N1,3000.0,2
31.66,WT,N1,300.0,2
35.43,WT,N1,30.0,2
39.02,WT,N1,3.0,2
24.96,WT,N1,30000.0,2
28.32,WT,N1,3000.0,2
31.71,WT,N1,300.0,2
34.87,WT,N1,30.0,2
,WT,N1,3.0,2
24.95,WT,N1,30000.0,2
28.43,WT,N1,3000.0,2
31.84,WT,N1,300.0,2
35.32,WT,N1,30.0,2
37.61,WT,N1,3.0,2
25.01,WT,N1,30000.0,2
28.34,WT,N1,3000.0,2
31.72,WT,N1,300.0,2
34.6,WT,N1,30.0,2
39.37,WT,N1,3.0,2
24.56,WT,N2,30000.0,2
28.14,WT,N2,3000.0,2
31.69,WT,N2,300.0,2
34.8,WT,N2,30.0,2
,WT,N2,3.0,2
24.57,WT,N2,30000.0,2
28.28,WT,N2,3000.0,2
32.08,WT,N2,300.0,2
35.63,WT,N2,30.0,2
40.01,WT,N2,3.0,2
24.61,WT,N2,30000.0,2
28.2,WT,N2,3000.0,2
31.64,WT,N2,300.0,2
35.36,WT,N2,30.0,2
37.65,WT,N2,3.0,2
24.57,WT,N2,30000.0,2
28.24,WT,N2,3000.0,2
31.8,WT,N2,300.0,2
35.93,WT,N2,30.0,2
38.22,WT,N2,3.0,2
